,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
126,126,7309,7309,Caladenia huegelii,"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"24,376,673,996,743,600,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7309,10.57999926,0.176099975,Caladenia huegelii
127,127,7309,7309,Caladenia huegelii,"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"24,376,673,996,743,600,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7309,17.83999877,0.35509995,Caladenia huegelii
437,437,24372,24372,Caladenia insularis,French Island Spider-orchid,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76198,0.01,VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24372,0.819999919,0.018099997,Caladenia insularis
438,438,24372,24372,Caladenia insularis,French Island Spider-orchid,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76198,0.01,VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24372,0.879999906,0.003999999,Caladenia insularis
2793,2793,82821,82821,Caladenia intuta,Ghost Spider-orchid,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,81972,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82821,1.39999984,0.089999986,Caladenia intuta
2794,2794,82821,82821,Caladenia intuta,Ghost Spider-orchid,Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,81972,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82821,2.199999747,0.079999988,Caladenia intuta
3866,3866,88196,88196,Caladenia leucochila,Collie Spider Orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,86876,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88196,1.159999904,0.028399996,Caladenia leucochila
3421,3421,9305,9305,Caladenia lindleyana,Lindley's Spider-orchid,Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"4,385,276,224",0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9305,3.699999625,0.061799988,Caladenia lindleyana
3423,3423,9305,9305,Caladenia lindleyana,Lindley's Spider-orchid,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"4,385,276,224",0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9305,0.679999923,0.005299999,Caladenia lindleyana
2565,2565,68664,68664,Caladenia lodgeana,Lodge's Spider-orchid,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68664,1.479999883,0.033399995,Caladenia lodgeana
470,470,24374,24374,Caladenia lowanensis,Wimmera Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76199,0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24374,1.999999839,0.099999984,Caladenia lowanensis
